Employee Name,Employee ID,Employee Email,Department,Expense Type,Amount,Date of Expense,Description,Receipt URL,Receipt Image,Status,Comments,Item Type,Path
John,1235,jonny32@gmail.com,Tech,Travel," ?1,000.00 ",13-06-2025,For charges,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/ERUqldZ29ydIpQh--Ckh2rgB0isKz_o9Onr8xdM74lAAOA?e=PQeAx7,,Rejected,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Alex,1408,alex2310@gmail.com,HR,Meals," ?1,392.00 ",22-05-2025,For lunch with clients,https://adityagroup-my.sharepoint.com/:p:/g/personal/23p31a4430_acet_ac_in/EYLtQCkNYW5Ng7Mxlj3QGEIB9yOqfV33xgqE_6xyYfmaRg?e=hIvZxm,,Pending,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Rebecca,3820,rebecca34@gmail.com,Sales,Others," ?35,400.00 ",17-04-2025,For medical fees,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/EfYt3LXgEU9DlE7U1X7rIS4BDmTHoNsvL2APaPyIGxOVQg?e=lJgLTQ,,Pending,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Olivia,7582,oliviasmith@gmail.com,Tech,Office, ?125.00 ,28-11-2024,For energy bills,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/Eb2_6KIsCwVJu_QpVe0Lg7sBDFB6P6e2mmFa4J7ndgQv7w?e=FVkB6J,,Rejected,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Elena,1731,elenaharper@gmail.com,Finance,Travel, ?550.00 ,04-12-2024,For travel charges to visit sites,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/ERUqldZ29ydIpQh--Ckh2rgB0isKz_o9Onr8xdM74lAAOA?e=sJAzwc,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Jeremy,4937,jeremy06@gmail.com,Finance,Office," ?1,200.00 ",07-11-2024,for electricity bill payments,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/Eb2_6KIsCwVJu_QpVe0Lg7sBDFB6P6e2mmFa4J7ndgQv7w?e=2jz0g1,,Rejected,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Ace,4370,portgasdace@gmail.com,Sales,Others," ?30,000.00 ",31-10-2024,For health check ups, https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/EfYt3LXgEU9DlE7U1X7rIS4BDmTHoNsvL2APaPyIGxOVQg?e=NzVDOP,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
sanji,629,vinsmokesanji@gmail.com,Tech,Travel, ?550.00 ,15-10-2024,For travelling costs,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/ERUqldZ29ydIpQh--Ckh2rgB0isKz_o9Onr8xdM74lAAOA?e=PQeAx7,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Robert,2905,robertdjr@gmail.com,HR,Office, ?800.00 ,13-10-2024,for stationary,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/Eb2_6KIsCwVJu_QpVe0Lg7sBDFB6P6e2mmFa4J7ndgQv7w?e=2jz0g1,,Rejected,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Luffy,2010,monkeydluffy@gmail.com,admin,Meals," ?1,060.00 ",01-09-2024,for lunch with team members,https://adityagroup-my.sharepoint.com/:p:/g/personal/23p31a4430_acet_ac_in/EYLtQCkNYW5Ng7Mxlj3QGEIB9yOqfV33xgqE_6xyYfmaRg?e=vy9CdH ,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Peter,3974,peterparker@gmail.com,Finance,Meals, ?730.00 ,12-09-2024,for dinner with client,https://adityagroup-my.sharepoint.com/:p:/g/personal/23p31a4430_acet_ac_in/EYLtQCkNYW5Ng7Mxlj3QGEIB9yOqfV33xgqE_6xyYfmaRg?e=vy9CdH ,,Rejected,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Levi ,2106,leviackerman@gmail.com,Sales,Others," ?41,730.00 ",14-08-2024,phone and internet charges,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/EfYt3LXgEU9DlE7U1X7rIS4BDmTHoNsvL2APaPyIGxOVQg?e=NzVDOP,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Helena,2936,helena77@gmail.com,Tech,Office," ?37,900.00 ",24-08-2024,printer costs,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/Eb2_6KIsCwVJu_QpVe0Lg7sBDFB6P6e2mmFa4J7ndgQv7w?e=2jz0g1,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Roselyn,9246,roselynnn@gmail.com,HR,Travel," ?7,000.00 ",21-07-2024,transportation costs,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/ERUqldZ29ydIpQh--Ckh2rgB0isKz_o9Onr8xdM74lAAOA?e=PQeAx7,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Cindy,2624,cindyjune@gmail.com,Tech,Meals," ?5,200.00 ",17-07-2024,meals with clients, https://adityagroup-my.sharepoint.com/:p:/g/personal/23p31a4430_acet_ac_in/EYLtQCkNYW5Ng7Mxlj3QGEIB9yOqfV33xgqE_6xyYfmaRg?e=vy9CdH ,,Approved,Approved.,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Maria,9187,marialynn@gmail.com,Finance,Office," ?24,700.00 ",07-08-2024,conference and seminar fees,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/Eb2_6KIsCwVJu_QpVe0Lg7sBDFB6P6e2mmFa4J7ndgQv7w?e=2jz0g1,,Rejected,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Justin,6029,justinn@gmail.com,Sales,Others," ?3,640.00 ",25-09-2024,Miscellaneous expenses,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/EfYt3LXgEU9DlE7U1X7rIS4BDmTHoNsvL2APaPyIGxOVQg?e=NzVDOP,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Andrew,1509,andrewwgf@gmail.com,Sales,Others," ?4,560.00 ",22-05-2025,subscription fees,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/EfYt3LXgEU9DlE7U1X7rIS4BDmTHoNsvL2APaPyIGxOVQg?e=NzVDOP,,Rejected,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Jessy,456,23A91A61G9@aec.edu.in,HR,Meals," ?1,200.00 ",10-06-2025,For lunch expenses,https://media.istockphoto.com/id/1420767944/vector/register-sale-receipt-isolated-on-white-background-cash-receipt-printed.jpg?s=612x612&w=0&k=20&c=eV7CDJK0DZgKo7KVlGTDJeVMN_2xybqIPvt1ATl_kkM=,,Rejected,Incomplete description.,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Neeraja,613,23P31A4430@acet.ac.in,Sales,Others," ?1,200.00 ",13-10-2024,for stationary expenses,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/EfYt3LXgEU9DlE7U1X7rIS4BDmTHoNsvL2APaPyIGxOVQg?e=NzVDOP,,Approved,Approved.,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Vinay,3791,23P31A05G5@acet.ac.in,Finance,Travel, ?950.00 ,18-05-2025,for transport charges,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/ERUqldZ29ydIpQh--Ckh2rgB0isKz_o9Onr8xdM74lAAOA?e=PQeAx7,,Approved,Approved.,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Nivedita,2956,23A91A1205@aec.edu.in,Tech,Office, ?825.00 ,30-04-2025,for interior decoration expenses,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/EfYt3LXgEU9DlE7U1X7rIS4BDmTHoNsvL2APaPyIGxOVQg?e=NzVDOP,,Rejected,Not aligned with company policy.,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Manikanta,2734,23MH1A4465@acoe.edu.in,HR,Meals," ?1,150.00 ",18-04-2025,for team dinner costs,https://adityagroup-my.sharepoint.com/:p:/g/personal/23p31a4430_acet_ac_in/EYLtQCkNYW5Ng7Mxlj3QGEIB9yOqfV33xgqE_6xyYfmaRg?e=vy9CdH ,,Approved,Approved.,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Bhavani,4061,23P31A1223@acet.ac.in,Finance,Office, ?690.00 ,21-06-2025,for stationary,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/Eb2_6KIsCwVJu_QpVe0Lg7sBDFB6P6e2mmFa4J7ndgQv7w?e=2jz0g1,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Jyotsna,3759,jyotsnasatti@gmail.com,Finance,Office, ?820.00 ,18-05-2025,for stationary costs,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/Eb2_6KIsCwVJu_QpVe0Lg7sBDFB6P6e2mmFa4J7ndgQv7w?e=2jz0g1,,Approved,Approved.,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Veera,,23P31A1223@acet.ac.in,HR,Office, ?500.00 ,23-06-2025,Due to meeting with client,https://adityagroup-my.sharepoint.com/:p:/g/personal/23p31a4430_acet_ac_in/EYLtQCkNYW5Ng7Mxlj3QGEIB9yOqfV33xgqE_6xyYfmaRg?e=vy9CdH,,Rejected,Please re-submit.,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Lalitha,2974,lalithapullela@gmail.com,Sales,Meals," ?1,140.00 ",07-04-2025,for team dinner costs,food :  https://adityagroup-my.sharepoint.com/:p:/g/personal/23p31a4430_acet_ac_in/EYLtQCkNYW5Ng7Mxlj3QGEIB9yOqfV33xgqE_6xyYfmaRg?e=vy9CdH ,,Approved,Approved.,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Sowmya,1836,sowmyasunkara@gmail.com,Tech,Office," ?3,700.00 ",21-03-2025,for office software subscriptions,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/Eb2_6KIsCwVJu_QpVe0Lg7sBDFB6P6e2mmFa4J7ndgQv7w?e=2jz0g1,,Rejected,incomplete description.,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Mikasa,2904,mikasa02@gmail.com,HR,Travel," ?4,200.00 ",21-06-2025,Hotel stays for work trips,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/ERUqldZ29ydIpQh--Ckh2rgB0isKz_o9Onr8xdM74lAAOA?e=PQeAx7,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Akshaya ,6140,akshayakusumanchi@gmail.com,Sales,Others," ?1,150.00 ",31-12-2024,Small gifts or tokens for clients,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/EfYt3LXgEU9DlE7U1X7rIS4BDmTHoNsvL2APaPyIGxOVQg?e=NzVDOP,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Rohan,2794,rohan123@gmail.com,Sales,Office, ?800.00 ,07-04-2025,for stationary costs,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.freepik.com%2Fvectors%2Freceipt&psig=AOvVaw1IY1r1eLJC3g2Av4sdsv5x&ust=1750748359522000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCOD3i4L8ho4DFQAAAAAdAAAAABAE,,Approved,Your request has been approved,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Amber,2738,amber12@gmail.com,HR,Meals," ?2,630.00 ",28-02-2025,Team lunch for project milestone ,https://adityagroup-my.sharepoint.com/:p:/g/personal/23p31a4430_acet_ac_in/EYLtQCkNYW5Ng7Mxlj3QGEIB9yOqfV33xgqE_6xyYfmaRg?e=vy9CdH ,,Pending,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Charlie,9401,charlie4@gmail.com,Tech,Travel, ?950.00 ,07-12-2024,Taxi or cab fare,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/ERUqldZ29ydIpQh--Ckh2rgB0isKz_o9Onr8xdM74lAAOA?e=PQeAx7,,Rejected,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Liam,2603,liam01@gmail.com,Finance,Office," ?5,100.00 ",22-11-2024,Printer ink and paper,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/Eb2_6KIsCwVJu_QpVe0Lg7sBDFB6P6e2mmFa4J7ndgQv7w?e=2jz0g1,,Approved,Approved.,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Xavier,7562,xavier98@gmail.com,Finance,Others," ?4,660.00 ",25-01-2025,Registration fees for conferences or workshops,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/EfYt3LXgEU9DlE7U1X7rIS4BDmTHoNsvL2APaPyIGxOVQg?e=NzVDOP,,Rejected,Please provide more details.,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Jay,1122,kurrujayavardhan7@gmail.com,Finance,Meals, ?500.00 ,16-06-2025,Dinner with a potential investor.,,,Pending,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
vinay gupta,1234,23p31a05g5@acet.ac.in,admin,Travel," ?3,420.00 ",25-06-2025,,,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Sanjana Medapati,6162,23A91A61G9@aec.edu.in,Tech,Meals, ?500.00 ,24-06-2025,Have a lunch with team members ,,,Rejected,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Neeraja,1306,23P31A4430@acet.ac.in,Sales,Travel," ?1,470.00 ",13-06-2025,Hotel stays for work trips,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/ERUqldZ29ydIpQh--Ckh2rgB0isKz_o9Onr8xdM74lAAOA?e=PQeAx7,,Approved,Approved.,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Bhavani,2343,pbhavani2708@gmail.com,Finance,Travel," ?1,500.00 ",24-06-2025,,,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Aditya,1015,adityasingh@gmail.com,Tech,Others, ?750.00 ,16-05-2025,Gifts for clients,,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Text input,,23MH1A4465@acoe.edu.in,HR,Travel,,22-05-2024,Text input,Text input,,Approved,Thanks for trying this and this is the output of the Approval of EXPENSE REIMBURSEMENT SYSTEM ??,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Text input,,23MH1A4465@acoe.edu.in,Finance,Meals, ?766.00 ,04-06-2025,....,hs,,Pending,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Sai,1121,23MH1A4465@acoe.edu.in,HR,Travel," ?1,000.00 ",26-06-2025,Dinner,,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Jayavardhan,1215,Kurrujayavardhan7@gmail.com,HR,Travel, ?200.00 ,21-07-2024,Dinner ,,,Approved,Thanks for trying this and this is the output of the Approval of EXPENSE REIMBURSEMENT SYSTEM ??,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Zuri,2321,pbhavani2708@gmail.com,Sales,Office," ?1,500.00 ",20-06-2024,,,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Gsjss,122467,ineniprasad906@gmail.com,Sales,Meals, ?500.00 ,11-07-2024,All dj th,,,Approved,Noo,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Jay,1238,Kurrujayavardhan7@gmail.com,Finance,Meals, ?100.00 ,14-08-2024,,,,Approved,Thanks for trying this and this is the output of the Approval of EXPENSE REIMBURSEMENT SYSTEM ??,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Jahnavi saitana,,22p31a04b3@acet.ac.in,Tech,Travel," ?1,500.00 ",26-08-2024,Sk sir so do cm,,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
,,Kurrujayavardhan7@gmail.com,HR,Travel,,25-09-2024,,,,Approved,Thanks for trying this and this is the output of the Approval of EXPENSE REIMBURSEMENT SYSTEM ??,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Harini ,,22A91A04M7@aec.edu.in,Tech,Travel," ?1,000.00 ",09-10-2024,,,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
,,Kurrujayavardhan7@gmail.com,HR,Travel,,20-10-2024,,,,Approved,Thanks for trying this and this is the output of Approval of EXPENSE REIMBURSEMENT SYSTEM ??,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Kamali,,22a91a04n8@aec.edu.in,Sales,Travel," ?25,000.00 ",09-11-2024,,,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
,,Kurrujayavardhan7@gmail.com,HR,Travel,,22-11-2024,,,,Approved,Thanks for trying this and this is the output of the Approval as a part of  EXPENSE REIMBURSEMENT SYSTEM ??,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
,,Kurrujayavardhan7@gmail.com,HR,Travel,,04-12-2024,,,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
,,Kurrujayavardhan7@gmail.com,HR,Travel,,17-12-2024,,,,Approved,Thanks for trying this and this is the output of the Approval of EXPENSE REIMBURSEMENT SYSTEM ??,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Karthik,,Karthikganti0788@gmail.com,Tech,Travel," ?1,500.00 ",29-01-2025,,,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Karthik,,23p31a0516@acet.ac.in,Tech,Travel," ?1,000.00 ",21-01-2025,,,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
,,Kurrujayavardhan7@gmail.com,HR,Travel,,01-03-2025,,,,Approved,Thanks for trying this and this is the output of the Approval of EXPENSE REIMBURSEMENT SYSTEM ??,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
,,Kurrujayavardhan7@gmail.com,HR,Travel,,11-03-2025,,,,Approved,Thanks for trying this and this is the output of the Approval of EXPENSE REIMBURSEMENT SYSTEM ??,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Mahesh,1306,nandinidevitekumudi@gmail.com,Finance,Meals," ?10,000.00 ",21-04-2025,Please pay money,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/ERUqldZ29ydIpQh--Ckh2rgB0isKz_o9Onr8xdM74lAAOA?e=PQeAx7,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
,,Kurrujayavardhan7@gmail.com,HR,Travel,,18-04-2025,,,,Approved,Thanks for trying this and this is the output of the Approval of EXPENSE REIMBURSEMENT SYSTEM ??,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Malleswari ,,23A91A6166@aec.edu.in,Sales,Meals," ?1,500.00 ",22-03-2025,,,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
,,Kurrujayavardhan7@gmail.com,Sales,Meals,,17-03-2025,,,,Approved,Thanks for trying this and this is the output of the Approval of EXPENSE REIMBURSEMENT SYSTEM ??,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
,,Kurrujayavardhan7@gmail.com,HR,Travel,,06-05-2025,,,,Approved,Thanks for trying this and this the output of the EXPENSE REIMBURSEMENT SYSTEM ??,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Laila,2397,laila12@gmail.com,HR,Travel," ?1,500.00 ",16-05-2025,for transportation costs,,,Approved,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Vinay,2332,23P31A05G5@acet.ac.in,Tech,Office," ?1,000.00 ",27-06-2025,Dinner with Clients,,"{""fileName"":""Reserved_ImageAttachment_[12]_[ReceiptImage][32]_[ef66b73f418948fc85d7f150b93c8dcb][1]_[1].jpg"",""originalImageName"":""20250521_131118""}",Pending,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Ariya,2383,ariya77@gmail.com,Tech,Others, ?650.00 ,26-06-2025,for miscellaneous costs,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/EfYt3LXgEU9DlE7U1X7rIS4BDmTHoNsvL2APaPyIGxOVQg?e=NzVDOP,,Approved,Approved.,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Akira,2784,akira@gmail.com,Finance,Office, ?600.00 ,20-06-2025,for stationary,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/Eb2_6KIsCwVJu_QpVe0Lg7sBDFB6P6e2mmFa4J7ndgQv7w?e=2jz0g1,,Rejected,,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Manya,3564,manya1@gmail.com,HR,Meals," ?2,370.00 ",22-05-2025,for team dinner costs,https://adityagroup-my.sharepoint.com/:p:/g/personal/23p31a4430_acet_ac_in/EYLtQCkNYW5Ng7Mxlj3QGEIB9yOqfV33xgqE_6xyYfmaRg?e=vy9CdH ,,Approved,Approved.,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
Ritu,2674,ritu789@gmail.com,Sales,Others, ?540.00 ,26-06-2025,for miscellaneous costs,https://adityagroup-my.sharepoint.com/:w:/g/personal/23p31a4430_acet_ac_in/EfYt3LXgEU9DlE7U1X7rIS4BDmTHoNsvL2APaPyIGxOVQg?e=NzVDOP,,Approved,Approved.,Item,sites/DataSpecialist_PROJECT_SPACE_7.0/Lists/Expense Reimbursement
